,＝＝＝＝＝＝＝＝＝＝キーワードcsvファイル＝＝＝＝＝＝＝＝＝＝
,CSVの記法は下記の通りです。（RFC4180に従っています）
,1.列をカンマで区切る
,2.行は改行で区切る
,3.セル内に改行やダブルクオーテーションを入れたい場合はセルを""で囲む
,4.ダブルクオーテーションは""と記述する（1つのダブルクオーテーションに対し、2つのダブルクオーテーションを記述する）
,上記ルールに従えば、Excel等でも編集できます。（Excelの場合は、テキストエンコーディングをShift_JISにする必要があるかもしれません。）
,テキストエンコーディングは自動認識しますが、一行目に下記の一文を入れると確実に認識できます。
,""charset=（テキストエンコーディング名）""
,＝＝＝＝＝＝＝＝＝＝カラムの説明＝＝＝＝＝＝＝＝＝＝
,カラム1:キーワード
,カラム2:キーワード説明
,カラム3:型名
,カラム4:親キーワード
,カラム5:キーワード色タイプ
,カラム6:補完テキスト
,カラム7:キーワード情報クリック時移動先URL
,※カラム1が空の行は無視されます。（＝コメント行として使用出来ます。）
,※カラム5のキーワード色タイプは下記の8種類（モード設定の「色」タブの各色に対応しています。）
,,0.""reserved-word"", 1.""method"", 2.""property"", 3.""variable"", 4.""class""
,5.""macro"", 6.""other1"", 7.""other2""
,＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
,CSS用キーワード
,下記文書に準拠
,Cascading Style Sheets Level 2 Revision 1 (CSS 2.1) Specification
,W3C Recommendation 07 June 2011
,http://www.w3.org/TR/2011/REC-CSS2-20110607/

,＝＝＝＝＝＝＝＝＝＝カラムヘッダ＝＝＝＝＝＝＝＝＝＝
,キーワード説明,型名,親キーワード,キーワード色タイプ,補完テキスト,移動先URL
,＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
azimuth,"音の方向
<angle> | [[ left-side | far-left | left | center-left | center | center-right | right | far-right | right-side ] || behind ] | leftwards | rightwards | inherit",,"property",class
background-attachment,"背景画像をスクロールするか固定するか
scroll | fixed | inherit
【初期値】scroll
【対象要素】全て
【子要素への値継承】無し
",,"property",class,"background-attachment: <<<CARET HINT(background-attachment)>>>;"
background-color,"背景色
<color> | transparent | inherit
【初期値】transparent
【対象要素】全て
【子要素への値継承】無し
",,"property",class,"background-color: <<<CARET HINT(color)>>>;"
background-image,"背景画像
<uri> | none | inherit
【初期値】none
【対象要素】全て
【子要素への値継承】無し
",,"property",class,"background-image: url(""<<<CARET HINT(URL)>>>"");"
background-position,"背景画像の位置
[ [ <percentage> | <length> | left | center | right ] [ <percentage> | <length> | top | center | bottom ]? ] | [ [ left | center | right ] || [ top | center | bottom ] ] | inherit
【初期値】0% 0%
【対象要素】全て
【子要素への値継承】無し
",,"property",class,"background-position: <<<CARET HINT(background-position-left)>>> <<<HINT(background-position-top)>>>;"
background-repeat,"背景画像の繰り返し有無
repeat | repeat-x | repeat-y | no-repeat | inherit
【初期値】repeat
【対象要素】全て
【子要素への値継承】無し
",,"property",class,"background-repeat: <<<CARET HINT(background-repeat)>>>;"
background,"背景
[background-color || background-image || background-repeat || background-attachment || background-position] | inherit
各値は省略可、順不同
【初期値】transparent none repeat scroll 0% 0%
【対象要素】全て
【子要素への値継承】無し
",,"property",class,"background: <<<CARET HINT(background-color)>>> <<<HINT(background-image \(url\(\)\))>>> <<<HINT(background-repeat)>>> <<<HINT(background-attachment)>>> <<<HINT(background-position-left)>>> <<<HINT(background-position-top)>>>;"
border-collapse,"テーブル枠線をセル枠線と分けるかどうか
collapse | separate | inherit
【初期値】separate
【対象要素】table
【子要素への値継承】有り
",,"property",class,"border-collapse: <<<CARET HINT(border-collapse)>>>;"
border-color,"枠線の色
[ <color> | transparent ]{1,4} | inherit
値1個：上下左右同じ値
値2個：上下、左右の順
値3個：上、左右、下の順
値4個：上、右、下、左の順
【初期値】colorプロパティの値
【対象要素】全て
【子要素への値継承】無し
",,"property",class,"border-color: <<<CARET HINT(border-color)>>>;"
border-spacing,"テーブルの枠線余白
<length> <length>? | inherit
値1個：水平/垂直同じ値
値2個：水平、垂直の順
【初期値】0
【対象要素】table
【子要素への値継承】有り
",,"property",class,"border-spacing: <<<CARET HINT(長さ（水平方向余白）)>>> <<<HINT(長さ（垂直方向余白）)>>>;"
border-style,"枠線スタイル
<border-style>{1,4} | inherit
値1個：上下左右同じ値
値2個：上下、左右の順
値3個：上、左右、下の順
値4個：上、右、下、左の順
【初期値】none
【対象要素】全て
【子要素への値継承】無し
",,"property",class,"border-style: <<<CARET HINT(border-style)>>>;"
border-top,"枠線（上）
[ <border-width> || <border-style> || border-color ] | inherit
各値は省略可、順不同
【初期値】medium none colorプロパティの値
【対象要素】全て
【子要素への値継承】無し
",,"property",class,"border-top: <<<CARET HINT(border-width)>>> <<<HINT(border-style)>>> <<<HINT(border-color)>>>;"
border-right,"枠線（右）
[ <border-width> || <border-style> || border-color ] | inherit
各値は省略可、順不同
【初期値】medium none colorプロパティの値
【対象要素】全て
【子要素への値継承】無し
",,"property",class,"border-right: <<<CARET HINT(border-width)>>> <<<HINT(border-style)>>> <<<HINT(border-color)>>>;"
border-bottom,"枠線（下）
[ <border-width> || <border-style> || border-color ] | inherit
各値は省略可、順不同
【初期値】medium none colorプロパティの値
【対象要素】全て
【子要素への値継承】無し
",,"property",class,"border-bottom: <<<CARET HINT(border-width)>>> <<<HINT(border-style)>>> <<<HINT(border-color)>>>;"
border-left,"枠線（左）
[ <border-width> || <border-style> || border-color ] | inherit
各値は省略可、順不同
【初期値】medium none colorプロパティの値
【対象要素】全て
【子要素への値継承】無し
",,"property",class,"border-left: <<<CARET HINT(border-width)>>> <<<HINT(border-style)>>> <<<HINT(border-color)>>>;"
