,＝＝＝＝＝＝＝＝＝＝キーワードcsvファイル＝＝＝＝＝＝＝＝＝＝
,CSVの記法は下記の通りです。（RFC4180に従っています）
,1.列をカンマで区切る
,2.行は改行で区切る
,3.セル内に改行やダブルクオーテーションを入れたい場合はセルを""で囲む
,4.ダブルクオーテーションは""と記述する（1つのダブルクオーテーションに対し、2つのダブルクオーテーションを記述する）
,上記ルールに従えば、Excel等でも編集できます。（Excelの場合は、テキストエンコーディングをShift_JISにする必要があるかもしれません。）
,テキストエンコーディングは自動認識しますが、一行目に下記の一文を入れると確実に認識できます。
,""charset=（テキストエンコーディング名）""
,＝＝＝＝＝＝＝＝＝＝カラムの説明＝＝＝＝＝＝＝＝＝＝
,カラム1:キーワード
,カラム2:キーワード説明
,カラム3:型名
,カラム4:親キーワード
,カラム5:キーワード色タイプ
,カラム6:補完テキスト
,カラム7:キーワード情報クリック時移動先URL
,※カラム1が空の行は無視されます。（＝コメント行として使用出来ます。）
,※カラム5のキーワード色タイプは下記の8種類（モード設定の「色」タブの各色に対応しています。）
,0.""reserved-word"", 1.""method"", 2.""property"", 3.""variable"", 4.""class""
,5.""macro"", 6.""other1"", 7.""other2""
,＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
,JavaScript DOMキーワード
,下記文書に準拠
,Document Object Model (DOM) Level 1 Specification
,http://www.w3.org/TR/1998/REC-DOM-Level-1-19981001/DOM.pdf
,
,＝＝＝＝＝＝＝＝＝＝カラムヘッダ＝＝＝＝＝＝＝＝＝＝
,キーワード説明,型名,親キーワード,キーワード色タイプ,補完テキスト,移動先URL
,＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
document,,,Document,property
,＝＝＝＝＝＝＝＝＝＝E.1: Document Object Model Level 1 Core＝＝＝＝＝＝＝＝＝＝
,----------Object DOMImplementation----------
,メソッド
hasFeature,"hasFeature(feature, version)
feature: String
version: String",boolean,DOMImplementation,method
,----------Object Document----------
,プロパティ
doctype,,DocumentType,Document,property
implementation,,DOMImplementation,Document,property
documentElement,,Element,Document,property
,メソッド
createElement,"createElement(tagName)
tagName: String",Element,Document,method
createDocumentFragment,"createDocumentFragment()",DocumentFragment,Document,method
createTextNode,"createTextNode(data)
data: String",Text,Document,method
createComment,"createComment(data)
data: String",Comment,Document,method
createCDATASection,"createCDATASection(data)
data: String",CDATASection,Document,method
createProcessingInstruction,"createProcessingInstruction(target, data)
target: String
data: String",ProcessingInstruction,Document,method
createAttribute,"createAttribute(name)
name: String",Attr,Document,method
createEntityReference,"createEntityReference(name)
name: String",EntityReference,Document,method
getElementsByTagName,"getElementsByTagName(tagname)
tagname: String",NodeList,Document,method
,----------Object Node----------
,プロパティ
nodeName,,String,Node,property
nodeValue,,String,Node,property
nodeType,,short,Node,property
parentNode,,Node,Node,property
childNodes,,NodeList,Node,property
firstChild,,Node,Node,property
lastChild,,Node,Node,property
previousSibling,,Node,Node,property
nextSibling,,Node,Node,property
attributes,,NamedNodeMap,Node,property
ownerDocument,,Document,Node,property
,メソッド
insertBefore,"insertBefore(newChild, refChild)
newChild: Node
refChild: Node",Node,Node,method
replaceChild,"replaceChild(newChild, oldChild)
newChild: Node
oldChild: Node",Node,Node,method
removeChild,"removeChild(oldChild)
oldChild: Node",Node,Node,method
appendChild,"appendChild(newChild)
newChild: Node",Node,Node,method
hasChildNodes,"hasChildNodes()",boolean,Node,method
cloneNode,"cloneNode(deep)
deep: boolean",Node,Node,method
