,＝＝＝＝＝＝＝＝＝＝キーワードcsvファイル＝＝＝＝＝＝＝＝＝＝
,CSVの記法は下記の通りです。（RFC4180に従っています）
,1.列をカンマで区切る
,2.行は改行で区切る
,3.セル内に改行やダブルクオーテーションを入れたい場合はセルを""で囲む
,4.ダブルクオーテーションは""と記述する（1つのダブルクオーテーションに対し、2つのダブルクオーテーションを記述する）
,上記ルールに従えば、Excel等でも編集できます。（Excelの場合は、テキストエンコーディングをShift_JISにする必要があるかもしれません。）
,テキストエンコーディングは自動認識しますが、一行目に下記の一文を入れると確実に認識できます。
,""charset=（テキストエンコーディング名）""
,＝＝＝＝＝＝＝＝＝＝カラムの説明＝＝＝＝＝＝＝＝＝＝
,カラム1:キーワード
,カラム2:キーワード説明
,カラム3:型名
,カラム4:親キーワード
,カラム5:キーワード色タイプ
,カラム6:補完テキスト
,カラム7:キーワード情報クリック時移動先URL
,※カラム1が空の行は無視されます。（＝コメント行として使用出来ます。）
,※カラム5のキーワード色タイプは下記の8種類（モード設定の「色」タブの各色に対応しています。）
,0.""reserved-word"", 1.""method"", 2.""property"", 3.""variable"", 4.""class""
,5.""macro"", 6.""other1"", 7.""other2""
,＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
,HTML5用キーワード
,下記文書に準拠。
,HTML5
,W3C Candidate Recommendation 17 December 2012
,http://www.w3.org/TR/html5/
,
,＝＝＝＝＝＝＝＝＝＝カラムヘッダ＝＝＝＝＝＝＝＝＝＝
,キーワード説明,型名,親キーワード,キーワード色タイプ,補完テキスト,移動先URL
,＝＝＝＝＝＝＝＝＝＝Elements＝＝＝＝＝＝＝＝＝＝
a,"Hyperlink",,,reserved-word
abbr,"abbr 略語",,,reserved-word
address,"address コンタクト情報",,,reserved-word
area,"area イメージマップ",,,reserved-word
article,"article 記事セクション [HTML5]",,,reserved-word
aside,"aside 付加情報 [HTML5]",,,reserved-word
audio,"audio 音声プレイヤー [HTML5]",,,reserved-word
b,"b キーワード、製品名など太字等で強調（文章の意味は変化しない）",,,reserved-word
base,"base 相対URIのベースURI",,,reserved-word
bdi,"bdi Text directionality isolation [HTML5]",,,reserved-word
bdo,"bdo 文字方向指定",,,reserved-word
blockquote,"blockquote 引用",,,reserved-word
body,"body ドキュメント本文",,,reserved-word
br,"br 改行",,,reserved-word
button,"button フォーム内のボタン",,,reserved-word
canvas,"Scriptable bitmap canvas [HTML5]",,,reserved-word
caption,"caption テーブルのキャプション",,,reserved-word
cite,"cite 作品のタイトル",,,reserved-word
code,"code ソースコード",,,reserved-word
col,"col テーブルカラム",,,reserved-word
colgroup,"colgroup テーブルカラムグループ",,,reserved-word
command,"command メニューコマンド [HTML5]",,,reserved-word
datalist,"datalist  コンボボックスのオプションのコンテナ [HTML5]",,,reserved-word
dd,"dd  Description リスト項目内容",,,reserved-word
del,"del 削除テキスト（履歴）",,,reserved-word
details,"details 詳細項目を隠すためのディスクロージャーコントロール [HTML5]",,,reserved-word
dfn,"dfn 定義",,,reserved-word
dialog,"dialog ダイアログボックス [HTML5]",,,reserved-word
div,"div flow コンテナ",,,reserved-word
dl,"dl Description リスト",,,reserved-word,"dl>
<dt><<<CARET SELECTED>>></dt>
<dd></dd>
</dl>
"
dt,"dd  Description リスト項目タイトル",,,reserved-word
em,"em 意味的強調",,,reserved-word
