,＝＝＝＝＝＝＝＝＝＝キーワードcsvファイル＝＝＝＝＝＝＝＝＝＝
,CSVの記法は下記の通りです。（RFC4180に従っています）
,1.列をカンマで区切る
,2.行は改行で区切る
,3.セル内に改行やダブルクオーテーションを入れたい場合はセルを""で囲む
,4.ダブルクオーテーションは""と記述する（1つのダブルクオーテーションに対し、2つのダブルクオーテーションを記述する）
,上記ルールに従えば、Excel等でも編集できます。（Excelの場合は、テキストエンコーディングをShift_JISにする必要があるかもしれません。）
,テキストエンコーディングは自動認識しますが、一行目に下記の一文を入れると確実に認識できます。
,""charset=（テキストエンコーディング名）""
,＝＝＝＝＝＝＝＝＝＝カラムの説明＝＝＝＝＝＝＝＝＝＝
,カラム1:キーワード
,カラム2:キーワード説明
,カラム3:型名
,カラム4:親キーワード
,カラム5:キーワード色タイプ
,カラム6:補完テキスト
,カラム7:キーワード情報クリック時移動先URL
,※カラム1が空の行は無視されます。（＝コメント行として使用出来ます。）
,※カラム5のキーワード色タイプは下記の8種類（モード設定の「色」タブの各色に対応しています。）
,0.""reserved-word"", 1.""method"", 2.""property"", 3.""variable"", 4.""class""
,5.""macro"", 6.""other1"", 7.""other2""
,＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
,Lua用キーワード
,
,＝＝＝＝＝＝＝＝＝＝カラムヘッダ＝＝＝＝＝＝＝＝＝＝
,キーワード説明,型名,親キーワード,キーワード色タイプ,補完テキスト,移動先URL
and,,,,reserved-word
break,,,,reserved-word
do,,,,reserved-word
else,,,,reserved-word
elseif,,,,reserved-word
end,,,,reserved-word
false,,,,reserved-word
for,,,,reserved-word
function,,,,reserved-word
if,,,,reserved-word
in,,,,reserved-word
local,,,,reserved-word
nil,,,,reserved-word
not,,,,reserved-word
or,,,,reserved-word
repeat,,,,reserved-word
return,,,,reserved-word
then,,,,reserved-word
true,,,,reserved-word
until,,,,reserved-word
while,,,,reserved-word
,＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
assert,,,,method
collectgarbage,,,,method
dofile,,,,method
error,,,,method
_G,,,,method
getmetatable,,,,method
ipairs,,,,method
load,,,,method
loadfile,,,,method
next,,,,method
pairs,,,,method
pcall,,,,method
print,,,,method
rawequal,,,,method
rawget,,,,method
rawlen,,,,method
rawset,,,,method
select,,,,method
setmetatable,,,,method
tonumber,,,,method
tostring,,,,method
type,,,,method
_VERSION,,,,method
xpcall,,,,method
create,,,coroutine,method
resume,,,coroutine,method
running,,,coroutine,method
status,,,coroutine,method
wrap,,,coroutine,method
yield,,,coroutine,method
require
config,,,package,method
cpath,,,package,method
loaded,,,package,method
loadlib,,,package,method
path,,,package,method
preload,,,package,method
searchers,,,package,method
searchpath,,,package,method
byte,,,string,method
char,,,string,method
dump,,,string,method
find,,,string,method
format,,,string,method
gmatch,,,string,method
gsub,,,string,method
len,,,string,method
lower,,,string,method
match,,,string,method
rep,,,string,method
reverse,,,string,method
sub,,,string,method
upper,,,string,method
concat,,,table,method
insert,,,table,method
pack,,,table,method
remove,,,table,method
sort,,,table,method
unpack,,,table,method
abs,,,math,method
acos,,,math,method
asin,,,math,method
atan,,,math,method
atan2,,,math,method
ceil,,,math,method
cos,,,math,method
cosh,,,math,method
deg,,,math,method
exp,,,math,method
floor,,,math,method
fmod,,,math,method
frexp,,,math,method
huge,,,math,method
ldexp,,,math,method
log,,,math,method
max,,,math,method
min,,,math,method
modf,,,math,method
pi,,,math,method
pow,,,math,method
rad,,,math,method
random,,,math,method
randomseed,,,math,method
sin,,,math,method
sinh,,,math,method
sqrt,,,math,method
tan,,,math,method
tanh,,,math,method
arshift,,,bit32,method
band,,,bit32,method
bnot,,,bit32,method
bor,,,bit32,method
btest,,,bit32,method
bxor,,,bit32,method
extract,,,bit32,method
replace,,,bit32,method
lrotate,,,bit32,method
lshift,,,bit32,method
rrotate,,,bit32,method
rshift,,,bit32,method
close,,,io,method
flush,,,io,method
input,,,io,method
lines,,,io,method
open,,,io,method
output,,,io,method
popen,,,io,method
read,,,io,method
tmpfile,,,io,method
type,,,io,method
write,,,io,method
clock,,,os,method
date,,,os,method
difftime,,,os,method
execute,,,os,method
exit,,,os,method
getenv,,,os,method
remove,,,os,method
rename,,,os,method
setlocale,,,os,method
time,,,os,method
tmpname,,,os,method
debug,,,debug,method
gethook,,,debug,method
getinfo,,,debug,method
getlocal,,,debug,method
getmetatable,,,debug,method
getregistry,,,debug,method
getupvalue,,,debug,method
getuservalue,,,debug,method
sethook,,,debug,method
setlocal,,,debug,method
setmetatable,,,debug,method
setupvalue,,,debug,method
setuservalue,,,debug,method
traceback,,,debug,method
upvalueid,,,debug,method
upvaluejoin,,,debug,method
